linux,DPDK,eBPF
3.63,1.26,0.837
0.527,1.03,0.601
0.447,1.04,0.514
0.386,1.02,0.551
0.367,1.04,0.595
0.432,1.03,0.605
0.425,1.03,0.620
0.435,1.03,0.546
0.454,0.960,0.617
0.433,0.887,0.593
0.431,0.939,0.590
0.452,0.913,0.576
0.447,1.09,0.624
0.468,1.01,0.623
0.461,1.04,0.660
0.508,1.04,0.610
0.465,0.992,0.613
0.476,1.01,0.597
0.476,0.997,0.650
0.403,1.00,0.614
0.407,1.01,0.556
0.430,1.00,0.607
0.505,1.03,0.624
0.464,1.13,0.970
0.420,1.13,0.561
0.419,0.881,0.558
0.400,0.994,0.601
0.487,1.01,0.589
0.488,1.01,0.627
0.484,1.11,0.595
0.417,1.13,0.529
0.381,1.00,0.620
0.417,0.991,0.882
0.477,1.12,0.567
0.457,1.03,0.706
0.488,1.11,0.577
0.422,1.01,0.583
0.391,1.02,0.561
0.401,1.12,0.533
0.426,1.11,0.566
0.477,1.21,0.579
0.396,1.11,0.720
0.419,1.02,0.574
0.415,1.00,0.583
0.468,1.12,0.601
0.419,1.01,1.18
0.476,1.01,0.539
0.419,1.12,0.580
0.514,0.893,0.594
0.413,0.997,0.582
0.474,1.12,0.616
0.517,1.01,0.625
0.402,0.885,0.641
0.405,1.12,0.551
0.512,2.14,0.591
0.417,1.11,0.535
0.477,0.996,0.610
0.471,0.931,0.516
0.395,1.00,0.950
0.395,1.01,0.540
0.522,1.01,0.564
0.389,1.11,0.606
0.468,0.888,0.561
0.425,1.05,0.579
0.482,1.12,0.623
0.419,1.00,0.534
0.508,0.898,0.576
0.404,1.13,0.586
0.464,1.01,0.534
0.487,1.01,0.520
0.523,1.13,0.572
0.405,0.998,0.561
0.401,1.04,0.665
0.416,0.987,0.543
0.476,0.895,0.540
0.531,0.893,0.525
0.423,1.05,0.581
0.409,0.925,0.587
0.410,1.07,0.516
0.400,1.03,0.536
0.476,0.889,0.530
0.526,1.04,0.986
0.405,1.04,0.594
0.398,0.903,0.610
0.412,1.05,0.625
0.487,1.03,0.553
0.474,0.901,0.559
0.432,1.04,0.512
0.407,1.10,0.635
0.387,0.884,0.561
0.406,1.12,0.823
0.405,1.11,0.511
0.409,1.01,0.537
0.504,1.01,0.529
0.464,1.13,0.525
0.414,0.881,0.512
0.401,1.03,0.590
0.400,0.996,0.577
