bigflood,bigfloodDPDK,bigfloodeBPF,flood,floodDPDK,floodeBPF,ping,pingDPDK,pingeBPF
3.63,1.26,0.837,1.07,0.491,0.256,0.924,0.482,0.278
0.527,1.03,0.601,0.122,0.315,0.079,0.121,0.387,0.156
0.447,1.04,0.514,0.044,0.286,0.117,0.121,0.371,0.194
0.386,1.02,0.551,0.040,0.273,0.051,0.119,0.382,0.157
0.367,1.04,0.595,0.040,0.277,0.051,0.122,0.385,0.164
0.432,1.03,0.605,0.040,0.281,0.052,0.121,0.377,0.157
0.425,1.03,0.620,0.040,0.238,0.050,0.121,0.376,0.197
0.435,1.03,0.546,0.039,0.289,0.052,0.121,0.389,0.203
0.454,0.960,0.617,0.039,0.275,0.052,0.122,0.384,0.180
0.433,0.887,0.593,0.039,0.261,0.111,0.123,0.380,0.194
0.431,0.939,0.590,0.039,0.264,0.056,0.122,0.380,0.166
0.452,0.913,0.576,0.039,0.279,0.056,0.120,0.383,0.445
0.447,1.09,0.624,0.039,0.280,0.055,0.120,0.379,0.187
0.468,1.01,0.623,0.039,0.275,0.123,0.124,0.380,0.151
0.461,1.04,0.660,0.039,0.283,0.050,0.122,0.384,0.211
0.508,1.04,0.610,0.039,0.271,0.055,0.121,0.382,0.200
0.465,0.992,0.613,0.039,0.279,0.061,0.121,0.387,0.153
0.476,1.01,0.597,0.039,0.225,0.056,0.123,0.393,0.185
0.476,0.997,0.650,0.039,0.261,0.056,0.089,0.388,0.158
0.403,1.00,0.614,0.039,0.270,0.055,0.121,1.52,0.194
0.407,1.01,0.556,0.039,0.293,0.070,0.121,0.385,0.206
0.430,1.00,0.607,0.040,0.269,0.058,0.122,0.383,0.185
0.505,1.03,0.624,0.039,0.289,0.056,0.122,0.386,0.204
0.464,1.13,0.970,0.039,0.280,0.063,0.121,0.383,0.167
0.420,1.13,0.561,0.039,0.268,0.055,0.123,0.382,0.151
0.419,0.881,0.558,0.039,0.264,0.058,0.121,0.388,0.164
0.400,0.994,0.601,0.039,0.266,0.055,0.121,0.391,0.192
0.487,1.01,0.589,0.039,0.257,0.058,0.089,0.383,0.212
0.488,1.01,0.627,0.039,0.276,0.057,0.122,0.383,0.203
0.484,1.11,0.595,0.044,0.229,0.056,0.122,0.389,0.189
0.417,1.13,0.529,0.039,0.228,0.058,0.122,0.385,0.162
0.381,1.00,0.620,0.043,0.252,0.063,0.121,0.390,0.170
0.417,0.991,0.882,0.042,0.265,0.057,0.121,0.384,0.162
0.477,1.12,0.567,0.040,0.265,0.056,0.121,0.383,0.152
0.457,1.03,0.706,0.042,0.289,0.057,0.121,0.385,0.166
0.488,1.11,0.577,0.040,0.274,0.056,0.121,0.389,0.191
0.422,1.01,0.583,0.039,0.267,0.057,0.093,0.386,0.202
0.391,1.02,0.561,0.039,0.267,0.059,0.122,1.51,0.176
0.401,1.12,0.533,0.040,0.279,0.056,0.121,0.381,0.171
0.426,1.11,0.566,0.040,0.268,0.061,0.120,0.379,0.147
0.477,1.21,0.579,0.040,0.267,0.057,0.122,0.389,0.192
0.396,1.11,0.720,0.041,0.278,0.058,0.122,0.384,0.177
0.419,1.02,0.574,0.041,0.358,0.058,0.121,0.383,0.182
0.415,1.00,0.583,0.040,0.274,0.056,0.122,0.385,0.175
0.468,1.12,0.601,0.040,0.283,0.056,0.120,0.387,0.203
0.419,1.01,1.18,0.040,0.282,0.058,0.088,0.384,0.196
0.476,1.01,0.539,0.041,0.282,0.056,0.116,0.382,0.169
0.419,1.12,0.580,0.040,0.293,0.063,0.120,0.386,0.180
0.514,0.893,0.594,0.039,0.282,0.057,0.120,0.383,0.205
0.413,0.997,0.582,0.038,0.261,0.057,0.121,0.385,0.206
0.474,1.12,0.616,0.039,0.267,0.057,0.121,0.381,0.165
0.517,1.01,0.625,0.039,0.267,0.057,0.122,0.386,0.200
0.402,0.885,0.641,0.039,0.269,0.059,0.123,0.387,0.177
0.405,1.12,0.551,0.040,0.268,0.056,0.121,0.390,0.152
0.512,2.14,0.591,0.039,0.269,0.059,0.089,0.385,0.208
0.417,1.11,0.535,0.039,0.263,0.062,0.123,1.51,0.166
0.477,0.996,0.610,0.039,0.282,0.057,0.123,0.383,0.210
0.471,0.931,0.516,0.039,0.276,0.056,0.120,0.381,0.125
0.395,1.00,0.950,0.039,0.295,0.059,0.122,0.386,0.158
0.395,1.01,0.540,0.040,0.364,0.057,0.122,0.387,0.188
0.522,1.01,0.564,0.039,0.281,0.056,0.121,0.383,0.162
0.389,1.11,0.606,0.039,0.277,0.057,0.122,0.384,0.185
0.468,0.888,0.561,0.041,0.276,0.062,0.121,0.388,0.165
0.425,1.05,0.579,0.039,0.282,0.057,0.089,0.387,0.184
0.482,1.12,0.623,0.039,0.264,0.060,0.121,0.387,0.172
0.419,1.00,0.534,0.039,0.269,0.056,0.112,0.384,0.158
0.508,0.898,0.576,0.041,0.263,0.102,0.122,0.386,0.174
0.404,1.13,0.586,0.039,0.283,0.052,0.122,0.383,0.158
0.464,1.01,0.534,0.039,0.277,0.055,0.121,0.383,0.180
0.487,1.01,0.520,0.039,0.280,0.061,0.135,0.381,0.165
0.523,1.13,0.572,0.039,0.288,0.062,0.121,0.385,0.176
0.405,0.998,0.561,0.039,0.306,0.057,0.123,0.388,0.204
0.401,1.04,0.665,0.040,0.276,0.055,0.089,0.388,0.177
0.416,0.987,0.543,0.039,0.274,0.405,0.121,1.50,0.147
0.476,0.895,0.540,0.039,0.279,0.096,0.121,0.382,0.176
0.531,0.893,0.525,0.040,0.275,0.050,0.121,0.385,0.198
0.423,1.05,0.581,0.040,0.268,0.050,0.122,0.386,0.178
0.409,0.925,0.587,0.039,0.224,0.050,0.123,0.380,0.181
0.410,1.07,0.516,0.039,0.258,0.049,0.121,0.391,0.164
0.400,1.03,0.536,0.039,0.276,0.050,0.123,0.383,0.162
0.476,0.889,0.530,0.039,0.281,0.048,0.121,0.384,0.162
0.526,1.04,0.986,0.040,0.275,0.052,0.126,0.388,0.175
0.405,1.04,0.594,0.039,0.281,0.050,0.122,0.385,0.198
0.398,0.903,0.610,0.039,0.276,0.050,0.121,0.384,0.166
0.412,1.05,0.625,0.039,0.286,0.049,0.120,0.383,0.199
0.487,1.03,0.553,0.039,0.267,0.052,0.120,0.382,0.136
0.474,0.901,0.559,0.039,0.261,0.051,0.122,0.381,0.167
0.432,1.04,0.512,0.039,0.264,0.052,0.121,0.383,0.188
0.407,1.10,0.635,0.040,0.277,0.050,0.122,0.382,0.178
0.387,0.884,0.561,0.039,0.262,0.050,0.121,0.387,0.191
0.406,1.12,0.823,0.039,0.275,0.051,0.117,0.383,0.209
0.405,1.11,0.511,0.040,0.280,0.050,0.123,1.51,0.197
0.409,1.01,0.537,0.039,0.275,0.049,0.122,0.379,0.207
